ia_rms,ia_ang,ib_rms,ib_ang,ic_rms,ic_ang,in_rms,in_ang,va_rms,va_ang,vb_rms,vb_ang,vc_rms,vc_ang
100.17,217.562,103.706,95.671,112.808,332.028,51.206,315.37,88034.047,43.621,88475.93,283.18,87718.625,163.115
100.28,225.028,103.706,103.171,112.712,339.528,50.865,322.596,88033.578,51.121,88475.508,290.68,87719.008,170.615
100.324,232.447,103.734,110.671,112.611,347.01,50.628,329.126,88033.773,58.622,88475.133,298.179,87718.617,178.115
100.355,239.902,103.734,118.222,112.503,354.499,50.429,336,88033.461,66.122,88474.672,305.679,87719.016,185.615
100.375,247.353,103.68,125.722,112.392,1.994,50.331,343.165,88033.57,73.622,88474.406,313.178,87718.625,193.115
100.385,254.8,103.68,133.178,112.392,9.496,50.131,350.545,88033.445,81.122,88474.109,320.678,87718.266,200.615
100.384,262.246,103.747,140.678,112.392,16.996,49.92,357.907,88033.438,88.622,88473.461,328.178,87718.266,208.116
100.384,269.689,103.747,148.212,112.293,24.496,49.737,5.376,88033.516,96.123,88472.422,335.678,87718.875,215.616
100.384,277.189,103.597,155.712,112.383,32.017,49.929,12.957,88033.242,103.623,88472.063,343.178,87718.063,223.115
100.384,284.689,103.519,163.167,112.383,39.49,50.014,20.265,88032.953,111.122,88471.68,350.677,87718.063,230.616
100.384,292.189,103.519,170.652,112.383,46.99,49.925,27.618,88032.398,118.622,88470.906,358.177,87718.063,238.116
100.321,299.689,103.35,178.152,112.383,54.49,50.014,35.316,88031.938,126.121,88470.516,5.677,87718.063,245.616
100.395,307.14,103.177,185.648,112.439,61.99,50.295,42.571,88031.672,133.621,88470.133,13.177,87717.82,253.116
100.631,314.685,102.995,193.159,112.487,69.445,50.757,49.224,88030.789,141.121,88469.766,20.677,87717.75,260.616
100.893,322.306,102.822,200.684,112.565,76.898,51.269,54.881,88030.141,148.62,88470.102,28.178,87717.734,268.117
100.804,329.91,102.657,208.223,112.59,84.3,51.333,60.439,88030.836,156.12,88469.797,35.677,87717.734,275.617
100.705,337.381,102.657,215.775,112.59,91.75,51.246,67.596,88031.203,163.62,88470.344,43.178,87717.555,283.117
100.705,344.86,102.602,223.275,112.585,99.25,51.48,75.461,88030.82,171.12,88471.281,50.677,87717.695,290.616
100.705,352.36,102.559,230.813,112.515,106.7,51.764,81.819,88031.211,178.62,88472.281,58.176,87717.883,298.116
100.705,359.86,102.559,238.356,112.477,114.055,51.828,87.769,88030.82,186.12,88472.594,65.675,87717.422,305.617
100.705,7.36,102.531,245.856,112.431,121.509,51.934,94.877,88030.438,193.62,88472.711,73.175,87717.422,313.116
100.486,14.86,102.571,253.406,112.537,128.966,51.589,101.597,88031.164,201.12,88472.5,80.675,87716.258,320.616
100.7,22.389,102.544,260.8,112.479,136.544,51.866,111.38,88030.156,208.62,88472.5,88.175,87716.891,328.116
100.7,29.846,102.544,268.41,112.479,144.01,51.921,117.05,88030.156,216.12,88472.539,95.675,87716.891,335.616
100.976,37.346,102.562,275.91,112.411,151.51,52.211,124.198,88030.156,223.62,88472.453,103.176,87718.352,343.116
100.976,44.743,102.532,283.52,112.339,158.985,52.211,129.696,88030.391,231.12,88472.453,110.675,87719.109,350.616
100.775,52.243,102.438,290.966,112.419,166.467,51.921,137.196,88031.18,238.62,88472.828,118.175,87719.109,358.116
100.893,59.877,102.622,298.362,112.335,173.979,52.196,146.291,88031.023,246.119,88471.906,125.676,87719.5,5.616
100.942,67.279,102.916,306.008,112.335,181.474,52.426,152.674,88031.141,253.62,88470.836,133.175,87719.117,13.116
100.942,74.727,102.916,313.687,112.427,188.974,52.426,159.221,88031.141,261.119,88470.242,140.674,87718.75,20.616
100.942,82.227,102.826,321.187,112.602,196.466,52.314,166.721,88031.164,268.619,88470.242,148.174,87718.078,28.116
100.942,89.727,102.732,328.652,112.602,203.937,52.314,174.501,88031.164,276.119,88468.859,155.674,87718.078,35.617
